lng,lat,station_name,type
103.742308,1.333207,Jurong East,MRT
103.749596,1.349069,Bukit Batok,MRT
103.751863,1.359043,Bukit Gombak,MRT
103.744316,1.385417,Choa Chu Kang,MRT
103.747523,1.397383,Yew Tee,MRT
103.762049,1.425302,Kranji,MRT
103.77415,1.432579,Marsiling,MRT
103.786406,1.436984,Woodlands,MRT
103.786406,1.436984,Admiralty,MRT
103.82006,1.449133,Sembawang,MRT
103.835044,1.429666,Yishun,MRT
103.832995,1.417423,Khatib,MRT
103.844923,1.381765,Yio Chu Kang,MRT
103.849588,1.370025,Ang Mo Kio,MRT
103.848206,1.35092,Bishan,MRT
103.847098,1.34055,Braddell,MRT
103.847436,1.332405,Toa Payoh,MRT
103.843405,1.320089,Novena,MRT
103.838021,1.31383,Newton,MRT
103.831792,1.304041,Orchard,MRT
103.838428,1.300508,Somerset,MRT
103.845799,1.299169,Dhoby Ghaut,MRT
103.852089,1.293119,City Hall,MRT
103.85155,1.284001,Raffles Place,MRT
103.854598,1.276481,Marina Bay,MRT
103.863581,1.271422,Marina South Pier,MRT
103.636866,1.340371,Tuas Link,MRT
103.639636,1.330075,Tuas West Road,MRT
103.649075,1.321091,Tuas Crescent,MRT
103.66083,1.319809,Gul Circle,MRT
103.678318,1.327826,Joo Koon,MRT
103.69742,1.337645,Pioneer,MRT
103.705817,1.33862,Boon Lay,MRT
103.720797,1.344264,Lakeside,MRT
103.732582,1.342436,Chinese Garden,MRT
103.765341,1.314925,Clementi,MRT
103.778596,1.311414,Dover,MRT
103.790046,1.307337,Buona Vista,MRT
103.798326,1.302439,Commonwealth,MRT
103.805902,1.294867,Queenstown,MRT
103.816787,1.289674,Redhill,MRT
103.826956,1.286555,Tiong Bahru,MRT
103.839459,1.280319,Outram Park,MRT
103.846771,1.276385,Tanjong Pagar,MRT
103.855873,1.300747,Bugis,MRT
103.863155,1.307577,Lavender,MRT
103.871372,1.311532,Kallang,MRT
103.882762,1.316474,Aljunied,MRT
103.893133,1.318214,Paya Lebar,MRT
103.902888,1.319809,Eunos,MRT
103.913433,1.320998,Kembangan,MRT
103.930205,1.324043,Bedok,MRT
103.946479,1.327309,Tanah Merah,MRT
103.953343,1.343237,Simei,MRT
103.943325,1.354467,Tampines,MRT
103.949343,1.373234,Pasir Ris,MRT
103.961459,1.334479,Expo,MRT
103.988487,1.357622,Changi Airport,MRT
103.820514,1.265453,HarbourFront,MRT
103.843626,1.284566,Chinatown,MRT
103.847521,1.288949,Clarke Quay,MRT
103.849396,1.306691,Little India,MRT
103.854872,1.312679,Farrer Park,MRT
103.861655,1.320091,Boon Keng,MRT
103.868779,1.331316,Potong Pasir,MRT
103.870727,1.339202,Woodleigh,MRT
103.873635,1.349862,Serangoon,MRT
103.885163,1.360207,Kovan,MRT
103.892533,1.371406,Hougang,MRT
103.893347,1.382991,Buangkok,MRT
103.895475,1.391682,Sengkang,MRT
103.902367,1.405191,Punggol,MRT
103.850715,1.296978,Bras Basah,MRT
103.855396,1.293995,Esplanade,MRT
103.860156,1.294063,Promenade,MRT
103.863449,1.300292,Nicoll Highway,MRT
103.875417,1.302847,Stadium,MRT
103.883175,1.306106,Mountbatten,MRT
103.888825,1.308474,Dakota,MRT
103.889901,1.326769,MacPherson,MRT
103.887706,1.33594,Tai Seng,MRT
103.87966,1.342923,Bartley,MRT
103.864957,1.35153,Lorong Chuan,MRT
103.839116,1.349089,Marymount,MRT
103.839627,1.337649,Caldecott,MRT
103.814905,1.322387,Botanic Gardens,MRT
103.807711,1.317606,Farrer Road,MRT
103.796119,1.311189,Holland Village,MRT
103.787584,1.299854,one-north,MRT
